"SampleID","WaterbodyID","InletOrOutlet","UorV","SamplingDate","Time","WaterTemperature_C","Air_Temperature_C","Pressure_Bar","pH","O2_pct","O2_mg_l","EC_us_cm","Chla","Alkalinitet_mekv_l","Kond_ms_m_25_C","PO4_P_filtr_mg_l","PO4_P_QC","TotP_mg_l","Tot_P_filtr_mg_l","NH4_N_mg_l","NO2_NO3_N_mg_l","TOC_mg_l","Tot_N_mg_l","Susp_mg_l","Dissolved_CH4_mg_L","Dissolved_N2O_ug_L","Methanotrophs_water_sample","Methanotrophs_sediment_sample","Methanogens_water_sample","Methanogens_sediment_sample"
375,21,"Inlet",,2022-8-4 00:00:00,"11:05",15.47,21.30,1.01,7.87,0.80,0.07,898.00,15.00,4.06,71.10,0.72,,0.86,0.74,0.22,10.50,13.20,12.20,36.00,,,1560.13,1940.66,1006.39,23394335.89
374,22,"Outlet",,2022-8-4 00:00:00,"13:00",15.59,20.34,1.01,7.63,5.70,0.57,423.00,5.00,3.38,36.30,0.07,,0.26,0.10,0.01,1.5e-03,7.30,0.59,18.00,,,,,,
373,22,"Inlet",,2022-8-4 00:00:00,"12:40",16.37,20.34,1.01,9.10,15.70,1.56,428.00,26.00,3.11,36.30,0.01,,0.08,0.03,5.0e-03,2.00,6.00,2.59,8.00,,,373.06,1735.77,114.65,59448034.09
372,20,"Outlet",,2022-8-8 00:00:00,"14:50",15.00,20.02,1.01,7.97,21.90,2.23,659.00,10.00,4.05,55.90,0.10,,0.75,0.14,0.08,1.5e-03,13.90,1.06,34.00,,,,,,
371,20,"Inlet",,2022-8-8 00:00:00,"14:15",17.26,20.02,1.01,7.98,10.10,0.99,623.00,12.00,4.30,54.50,8.0e-03,,0.08,0.02,0.06,1.5e-03,10.60,0.76,28.00,,,1780.73,6661.88,181.64,64881036.60
370,19,"Outlet",,2022-8-2 00:00:00,"13:55",15.30,21.78,1.01,7.89,1.10,0.11,441.00,11.00,4.01,39.20,0.06,,0.90,0.09,0.02,4.0e-03,23.90,1.41,79.00,,,,,,
369,19,"Inlet",,2022-8-2 00:00:00,"13:40",15.23,21.78,1.01,8.24,1.60,0.16,488.00,10.00,4.06,42.40,0.88,,1.81,0.89,0.65,0.19,16.00,1.98,79.00,,,410.25,7222.52,2225.50,110416796.75
368,18,"Outlet",,2022-8-8 00:00:00,"17:25",20.08,18.30,1.02,8.30,10.20,0.93,409.00,19.00,3.27,34.70,2.0e-03,"<0,004",0.04,0.01,0.01,1.5e-03,20.20,1.22,12.00,,,,,,
367,18,"Inlet",,2022-8-8 00:00:00,"17:40",21.05,18.30,1.02,9.02,11.70,1.05,419.00,10.00,3.34,35.80,2.0e-03,"<0,004",0.09,0.01,0.01,0.01,19.90,1.23,51.00,,,1146.26,328.71,714.03,2510668.40
366,17,"Outlet",,2022-7-28 00:00:00,"12:00",16.80,17.25,1.02,8.05,5.30,0.52,710.00,76.00,3.38,64.70,0.07,,0.27,0.09,0.01,1.5e-03,20.20,1.51,11.00,,,,,,
